id,name,close ,up,up%,vol,fi_buy,fi_sell,fi_net,fi_ho,hi_hora,tr_buy,tr_sell,tr_net,se_buy,se_sell,se_net,ma_buy,ma_sell,ma_net
170,18'12/19,71.8,1,1.41,"17,964","8,655","6,911","1,744","5,812,530",41.9,188,0,188,449,305,144,"9,292","7,216","2,076"
171,18'12/20,71.5,-0.3,-0.42,"25,245","8,443","14,019","-5,576","5,807,112",41.9,10,0,10,174,875,-701,"8,627","14,894","-6,267"
172,18'12/21,71.4,-0.1,-0.14,"33,136","18,911","25,633","-6,722","5,799,844",41.8,761,163,598,84,587,-503,"19,756","26,383","-6,627"
173,18'12/22,70.9,-0.5,-0.7,"6,222","1,130","1,415",-285,"5,799,559",41.8,6,90,-84,77,299,-222,"1,213","1,804",-591
174,18'12/24,71.4,0.5,0.71,"11,792","4,149","4,383",-234,"5,798,975",41.8,0,0,0,163,300,-137,"4,312","4,683",-371
175,18'12/25,70.7,-0.7,-0.98,"10,944","2,479","4,268","-1,789","5,797,792",41.8,63.1,0,63.1,335,922,-587,"2,877","5,190","-2,313"
176,18'12/26,70.2,-0.5,-0.71,"9,507","2,037","3,540","-1,503","5,795,489",41.8,0,20,-20,53,727,-674,"2,090","4,287","-2,197"
177,18'12/27,70.8,0.6,0.85,"17,074","10,217","7,260","2,957","5,795,696",41.8,11,0,11,"1,623",93,"1,530","11,851","7,353","4,498"
178,18'12/28,70.8,0,0,"16,169","10,705","10,058",647,"5,796,354",41.8,0,0,0,354,253,101,"11,059","10,311",748
179,19'01/02,70.1,-0.7,-0.99,"16,775","4,817","9,554","-4,737","5,788,822",41.8,26,0,26,155,"1,549","-1,394","4,998","11,103","-6,105"
180,19'01/03,68.9,-1.2,-1.71,"36,659","11,826","21,823","-9,997","5,780,161",41.7,0,600,-600,544,363,181,"12,370","22,786","-10,416"
181,19'01/04,67.6,-1.3,-1.89,"37,314","12,041","18,539","-6,497","5,777,496",41.7,33,"1,607","-1,574",890,452,438,"12,964","20,597","-7,633"
182,19'01/07,69.3,1.7,2.51,"24,085","14,196","10,605","3,590","5,780,790",41.7,0,355,-355,"1,680",336,"1,344","15,876","11,296","4,579"
183,19'01/08,68.6,-0.7,-1.01,"18,303","9,926","8,798","1,128","5,782,004",41.7,0,0,0,208,432,-224,"10,134","9,230",904
184,19'01/09,69.9,1.3,1.9,"31,947","23,409","12,069","11,340","5,793,838",41.8,0,0,0,"2,031",453,"1,578","25,440","12,522","12,918"
185,19'01/10,69.3,-0.6,-0.86,"19,041","11,185","14,187","-3,002","5,791,883",41.8,0,0,0,66,706,-640,"11,251","14,893","-3,642"
186,19'01/11,69.4,0.1,0.14,"23,896","13,976","15,367","-1,391","5,790,240",41.8,75,0,75,421,899,-478,"14,472","16,266","-1,794"
187,19'01/14,68.7,-0.7,-1.01,"14,187","6,596","10,268","-3,673","5,786,728",41.7,0,0,0,197,466,-269,"6,793","10,734","-3,942"
